,url,title,author,views,lang,grade,subject,chapter
0,https://www.youtube.com/watch?v=7tBipMcSZ3c,1. 9C02 भूमिका | Introduction,Avanti Sankalp,44765,hindi,9,science,Is Matter Around Us Pure
1,https://www.youtube.com/watch?v=TOor3BL-6z8,1. 9C02.1 CV0 पढ़ने का उद्देश्य | Learning Objectives,Avanti Sankalp,11424,hindi,9,science,Is Matter Around Us Pure
2,https://www.youtube.com/watch?v=FldWZFNHpu8,2. 9C02.1 CV1 मिश्रण से परिचय | INTRODUCTION TO MIXTURES,Avanti Sankalp,28079,hindi,9,science,Is Matter Around Us Pure
3,https://www.youtube.com/watch?v=CqTJFVmKrUs,3. 9C02.1 CV2 मिश्रण के प्रकार | TYPES OF MIXTURES,Avanti Sankalp,21306,hindi,9,science,Is Matter Around Us Pure
4,https://www.youtube.com/watch?v=RQE1EC29C1A,4. 9C02.1 CV3 विलयन | SOLUTIONS,Avanti Sankalp,16626,hindi,9,science,Is Matter Around Us Pure
5,https://www.youtube.com/watch?v=ogKp3sNMJAI,5. 9C02.1 CV4-I विलयन की सांद्रता | CONCENTRATION OF A SOLUTION,Avanti Sankalp,29690,hindi,9,science,Is Matter Around Us Pure
6,https://www.youtube.com/watch?v=5vS8wsIKXls,6. 9C02.1 CV4-II विलयन की सांद्रता | CONCENTRATION OF A SOLUTION,Avanti Sankalp,16647,hindi,9,science,Is Matter Around Us Pure
7,https://www.youtube.com/watch?v=qT6v5MPxNxI,7. 9C02.1 CV5 निलंबन 1 | SUSPENSIONS,Avanti Sankalp,12588,hindi,9,science,Is Matter Around Us Pure
8,https://www.youtube.com/watch?v=TuB-FE7cC-I,8. 9C02.1 CV6 कोलाइडल विलयन | COLLOIDAL SOLUTION,Avanti Sankalp,12161,hindi,9,science,Is Matter Around Us Pure
9,https://www.youtube.com/watch?v=CtFy3f04-jA,9. 9C02.1 Recall Test,Avanti Sankalp,9551,hindi,9,science,Is Matter Around Us Pure
10,https://www.youtube.com/watch?v=TYkeXTqYMgk,10. 9C02.1 Concept Test 1,Avanti Sankalp,8600,hindi,9,science,Is Matter Around Us Pure
11,https://www.youtube.com/watch?v=YxAusdtLe0E,11. 9C02.1 Concept Test 2,Avanti Sankalp,7515,hindi,9,science,Is Matter Around Us Pure
12,https://www.youtube.com/watch?v=oe4z0ip5VZk,12. 9C02.1 PSV 1,Avanti Sankalp,9477,hindi,9,science,Is Matter Around Us Pure
13,https://www.youtube.com/watch?v=6UwytK6Lqj4,13. 9C02.1 PSV 2,Avanti Sankalp,3230,hindi,9,science,Is Matter Around Us Pure
14,https://www.youtube.com/watch?v=ADPA6SUat78,1. 9C02.2 CV0 पढ़ने का उद्देश्य | Learning Objectives,Avanti Sankalp,14187,hindi,9,science,Is Matter Around Us Pure
15,https://www.youtube.com/watch?v=gG6yfdNSyiM,2. 9C02.2 CV1 पृथक्करण क्यों ज़रूरी है? | WHY SEPARATION?,Avanti Sankalp,25399,hindi,9,science,Is Matter Around Us Pure
16,https://www.youtube.com/watch?v=iAwXf3dFct8,3. 9C02.2 CV2 वाष्पीकरण | EVAPORATION,Avanti Sankalp,16055,hindi,9,science,Is Matter Around Us Pure
17,https://www.youtube.com/watch?v=DSQvrv52kc8,4. 9C02.2 CV3 अपकेंद्रन | CENTRIFUGATION,Avanti Sankalp,12315,hindi,9,science,Is Matter Around Us Pure
